상호명,지점명,도로명주소,사업장명,소재지면적,위도,경도
GS25,방화샤르망점,서울특별시 강서구 방화대로47가길 7,지에스25 방화샤르망,3.30,37.5799566,126.8145632
CU,화곡영광점,서울특별시 강서구 곰달래로53길 121,씨유 화곡영광점,3.30,37.534548,126.8579101
세븐일레븐,강서화곡한솔점,서울특별시 강서구 까치산로17길 10,세븐일레븐 강서화곡한솔점,6.60,37.5482951,126.8491647
GS25,화곡열매점,서울특별시 강서구 곰달래로49길 56,지에스25 화곡역매점,3.30,37.5372656,126.853675
CU,발산열린점,서울특별시 강서구 마곡중앙6로 93,씨유발산열린점,3.30,37.5603203,126.8379486
CU,등촌5단지점,서울특별시 강서구 강서로62길 98,씨유 등촌5단지점,9.90,37.56251,126.84331
CU,송정역점,서울특별시 강서구 공항대로 43,씨유송정역점,3.30,37.5612563,126.8124407
GS25,화곡도래점,서울특별시 강서구 까치산로20길 11,GS25화곡도래점,3.30,37.5484273,126.8515411
CU,88체육관점,서울특별시 강서구 공항대로 376,씨유 KBS스포츠월드점,3.30,37.5566809,126.84840136509956
CU,편의점,서울특별시 강서구 공항대로 509,씨유 등촌보보카운티점,7.00,37.5612563,126.8124407
GS25,화곡공원점,서울특별시 강서구 화곡로42가길 9,GS25 화곡공원점,6.60,37.5457012,126.8454576
세븐일레븐,S방화역점,서울특별시 강서구 금낭화로 132,세븐일레븐(S방화역점),4.00,37.5761896,126.8122948
세븐일레븐,화곡까치산로점,서울특별시 강서구 까치산로 29,세븐일레븐 화곡까치산로점,3.30,37.55493,126.85463
CU,마곡투웨니점,서울특별시 강서구 강서로 443,씨유 마곡투웨니점,6.70,37.5596089,126.838587
CU,강서오토플렉스점,서울특별시 강서구 양천로 390,씨유강서오토플렉스점,3.30,37.5488695,126.8781594
CU,마곡퀸즈점,서울특별시 강서구 공항대로 212,씨유 마곡퀸즈점,3.30,37.5612563,126.8124407
CU,마곡로뎀점,서울특별시 강서구 공항대로 186,씨유 마곡로뎀점,3.30,37.5612563,126.8124407
세븐일레븐,마곡로뎀점,서울특별시 강서구 공항대로 186,씨유 마곡로뎀점,3.30,37.5612563,126.8124407
미니스톱,화곡재성점,서울특별시 강서구 월정로20길 25,미니스톱 화곡재성점,3.30,37.5298656,126.8421145
CU,강서가로공원점,서울특별시 강서구 가로공원로 216,씨유 강서가로공원점,3.30,37.5370449,126.8357507
세븐일레븐,마곡대방디엠,서울특별시 강서구 마곡동로10길 23,세븐일레븐 마곡대방디엠,3.30,37.5686844,126.8386029
GS25,방화제일점,서울특별시 강서구 방화동로12길 14,GS25 방화제일점,3.30,37.5665894,126.8140655
CU,화곡일등점,서울특별시 강서구 화곡로27가길 2,씨유화곡일등점,6.60,37.5430674,126.8418415
CU,이웰메디파크점,서울특별시 강서구 마곡중앙4로 74,씨유 이웰메디파크점,3.30,37.5580856,126.8353024
세븐일레븐,화곡메인점,서울특별시 강서구 곰달래로49길 112,세븐일레븐 화곡메인점,3.30,37.5372656,126.853675
세븐일레븐,화곡까치점,서울특별시 강서구 까치산로2길 3,세븐일레븐 화곡까치점,7.00,37.5398184,126.8432784
