상호명,지점명,도로명주소,경도,위도
세븐일레븐,가양9단지점,서울특별시 강서구 허준로 234,126.8637174,37.5585598
CU,화곡일등점,서울특별시 강서구 화곡로27가길 2,126.8407678,37.54224424
CU,이웰메디파크점,서울특별시 강서구 마곡중앙4로 74,126.8349005,37.55787347
세븐일레븐,화곡메인점,서울특별시 강서구 곰달래로49길 112,126.8550526,37.53604032
CU,강서부민병원점,서울특별시 강서구 공항대로 389,126.8508862,37.55684979
세븐일레븐,화곡까치점,서울특별시 강서구 까치산로2길 3,126.8424397,37.54096315
미니스톱,등촌청림점,서울특별시 강서구 공항대로45길 44,126.8557876,37.55679828
CU,마곡두산점,서울특별시 강서구 마곡서로 152,126.8256231,37.56774694
GS25,우장산스카이점,서울특별시 강서구 강서로 294,126.8366441,37.55201593
GS25,공항소담점,서울특별시 강서구 방화대로6라길 26,126.8184941,37.55613362
GS25,김포공항역점,서울특별시 강서구 하늘길 38,126.8023643,37.56190888
GS25,강서메트로칸점,서울특별시 강서구 공항대로45가길 11,126.8536599,37.55605681
GS25,강서우장점,서울특별시 강서구 강서로45다길 35,126.8349893,37.54635915
세븐일레븐,강서화곡로점,서울특별시 강서구 화곡로 296,126.8490706,37.55053388
CU,가양모터리움점,서울특별시 강서구 양천로53길 30,126.8468884,37.56655998
CU,메트로점,서울특별시 강서구 화곡로26가길 2,126.8398375,37.54093761
세븐일레븐,2872S개화산역점,서울특별시 강서구 양천로 22,126.8061727,37.57221016
GS25,발산에너지점,서울특별시 강서구 강서로56길 50,126.8415128,37.55917295
GS25,국립항공박물관점,서울특별시 강서구 하늘길 112,126.8134089,37.55349666
GS25,등촌타운점,서울특별시 강서구 공항대로 543,126.8665978,37.55072146
CU,화곡시원점,서울특별시 강서구 가로공원로76길 38,126.8373106,37.53533535
CU,마곡9단지점,서울특별시 강서구 공항대로 103,126.8191553,37.56228526
세븐일레븐,등촌영일점,서울특별시 강서구 등촌로51가길 27,126.8624225,37.54769887
미니스톱,한강강서1점,서울특별시 강서구 양천로27길 280-11,126.8208015,37.58494455
CU,염창JK블라썸호텔점,서울특별시 강서구 양천로65길 41-22,126.8677624,37.55677857
CU,강서마곡점,서울특별시 강서구 양천로47나길 7,126.8383448,37.57149495
CU,마곡8단지점,서울특별시 강서구 마곡서1로 81,126.8191339,37.56435741
세븐일레븐,화곡우장산점,서울특별시 강서구 화곡로53길 58,126.8457656,37.55202437
세븐일레븐,등촌임광점,서울특별시 강서구 등촌로 113,126.8634494,37.5404374
